0,3,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,1,3,3,1,3,2,2,2,1,2,2,2,7,3,2,5,3,3,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,5,4,2,7,4,2,2,1,2,5,2,2
3,0,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,3,2,1,1,3,2,4,4,2,1,2,2,2,2,1,1,4,3,2,1,4,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,2,5,1,2,4,2,7,2,1,1,1,1,4,1,1
3,2,0,2,1,1,2,3,2,1,1,1,2,1,1,2,2,1,2,2,3,1,2,3,2,6,1,2,1,1,2,2,2,2,2,2,2,2,2,1,3,1,2,3,2,1,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,1,21,3,2,3,27,11,2,2,2,3,2,2,2,2
2,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,2,1,1,2,2,2,1,1,3,1,2,2,3,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,2,2,4,1,2,1,1,1,2,1,1
2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,3,4,2,1,1,1,2,2,1,1,3,2,2,1,3,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,4,2,2,3,3,6,2,1,1,2,1,3,1,1
2,2,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,5,2,1,1,1,1,2,1,1
3,1,2,1,1,2,0,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,3,2,3,5,2,2,2,2,3,2,2,1,3,2,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5,2,2,3,3,7,2,2,1,2,2,3,1,1
3,1,3,1,1,2,1,0,1,2,1,1,1,2,2,2,1,2,3,2,1,1,3,3,4,4,3,2,2,3,3,2,2,1,4,2,2,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,6,2,2,3,2,7,2,2,1,1,1,4,1,1
3,1,2,1,1,1,1,1,0,1,1,1,1,2,2,2,1,2,2,2,1,1,2,3,4,4,2,2,2,2,2,2,1,1,3,2,2,2,3,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,5,2,2,3,3,7,2,2,2,2,2,3,1,1
2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,2,1,1,1,2,2,1,2,3,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,2,6,2,1,1,1,1,3,1,1
2,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,4,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,2,3,2,5,2,1,1,1,1,2,1,1
2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,2,1,2,4,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,6,1,2,3,3,6,1,1,1,1,1,2,1,1
2,1,2,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,2,1,2,1,2,1,2,3,2,1,1,2,2,2,1,1,3,1,2,2,3,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,3,2,5,1,2,1,1,1,2,1,1
2,1,1,1,1,1,2,2,2,1,1,1,1,0,1,1,1,1,1,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,3,3,7,2,1,1,1,1,2,1,1
2,2,1,1,1,1,2,2,2,1,1,1,2,1,0,1,2,1,1,2,3,1,2,2,2,5,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,3,1,7,3,2,3,14,17,2,1,2,2,2,2,2,2
2,2,2,1,2,1,2,2,2,1,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,3,2,1,1,2,2,2,1,2,2,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,1,2,2,3,5,2,1,1,1,1,2,1,1
2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,1,1,2,2,3,2,2,1,1,2,2,2,1,1,4,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,5,1,2,3,2,5,3,1,1,1,1,3,1,1
2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,1,1,2,1,2,1,2,4,1,1,1,1,2,1,1,1,3,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,7,1,2,3,4,5,1,1,1,1,1,2,1,1
2,3,2,2,2,1,2,3,2,1,1,2,2,1,1,1,2,1,0,2,3,2,1,2,1,3,2,3,1,1,3,2,1,3,3,1,2,2,3,2,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,3,2,2,2,2,5,3,2,2,7,8,2,2,2,3,3,2,2,2
2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,0,2,1,2,1,2,4,2,2,2,1,2,2,1,2,4,1,2,2,3,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,11,2,2,3,4,5,2,1,2,2,2,3,2,2
